key,de,en,es,es_MX,fr,it,ja,ko,pl,pt_BR,tr,zh_TW
<!MissingKey:Conclusion>,Fazit,Conclusion,Conclusión,Conclusión,Conclusion,Conclusione,結論,결론,z rozdziału,Conclusão,Sonuç,結論
<!MissingKey:Brown>,Brown,Brown,Brown,Brown,Brown,Brown,ブラウン,브라운,Brown,Brown,Brown,布朗
<!MissingKey:Luke>,Luke,Luke,Luke,Luke,Luke,Luke,ルーク,루크,Luke,Luke,Luke,盧克
ASYLUM_CLIPBOARD_CELL_205_DESCRIPTION,"Buchhalter, mehrfacher Mörder","Accountant, repeat murderer","Contable, asesino múltiple","Contador, asesino reincidente","Comptable, meurtres multiples","Contabile, pluriomicida",会計士、連続殺人犯,"회계사, 연쇄살인범","Księgowy, wielokrotny morderca","Contador, assassino reincidente","Muhasebeci, birçok kez cinayet işledi",會計師，殺人慣犯
<!MissingKey:Rare Talent Foundation>,Fonds für Seltene Talente,Rare Talent Foundation,Fondos de Talentos Raros,Fondo para Talentos Raros,Fonds pour les Talents Rares,Fondo Talenti Rari,レア・タレント・ファンド,희소 인재 펀드,Fundusz Rzadkich Talentów,Fundo para Talentos Raros,Nadir Yetenek Fonu,稀有人才基金會
<!MissingKey:John>,John,John,John,John,John,John,ジョン,존,John,John,John,約翰
<!MissingKey:Isaac>,Isaac,Isaac,Isaac,Isaac,Isaac,Isaac,アイザック,아이작,Isaac,Isaac,Isaac,以薩
"<!MissingKey:December 11, 1977>","11. Dezember 1977
 
 
7. Dezember 1977
 
 
1. Januar 1978
 
 
unbestätigt
","December 11, 1977
 
 
December 7, 1977
 
 
January 1, 1978
 
 
TBC
","11 de diciembre de 1977
 
 
7 de diciembre de 1977
 
 
1 de enero de 1978
 
 
Por determinar
","11 de diciembre de 1977
 
 
7 de diciembre de 1977
 
 
1 de enero de 1978
 
 
Por confirmar
","11 décembre 1977
 
 
7 décembre 1977
 
 
1er janvier 1978
 
 
À confirmer
","11 dicembre 1977
 
 
7 dicembre 1977
 
 
1° gennaio 1978
 
 
da confermare
","1977年12月11日
 
 
1977年12月7日
 
 
1978年1月1日
 
確認中
","1977년 12월 11일
 
 
1977년 12월7일
 
1978년 1월 1일
 

확인 필요
","11 grudnia 1977 r.
 

 
7 grudnia 1977 r.
 
 
1 stycznia 1978 r.
 
 
Nie ustalono
","11 de dezembro de 1977
 
 

7 de dezembro de 1977
 
 
1º de janeiro de 1978
 
 
A confirmar
","11 Aralık 1977
 
 

7 Aralık 1977
 
 
1 Ocak 1978
 
 
Henüz onaylanmadı
","1977 年 12 月 11 日
 
1977 年 12 月 7 日
 

1978 年 1 月 1 日
 

待確認
"
CONFERENCE_SCENARIO_DESCRIPTION,Die plötzliche Ankündigung eines finsteren Kults,The Sudden Announcement of a Sinister Cult,El repentino anuncio de una secta siniestra,El anuncio repentino de un culto siniestro,La soudaine annonce d'un sinistre culte,Annuncio improvviso su una setta sinistra,暗黒のカルト集団による突然の発表,불길한 사이비 집단에 대한 갑작스러운 발표,Nagłe oświadczenie o złowrogim kulcie,O Anúncio Repentino de uma Seita Sinistra,Şeytani Bir Tarikatın Beklenmedik Duyuruluşu,邪惡教團的突發宣言
<!MissingKey:A>,"A
 
 
B
 
 
C
 
 
D","A
 
 
B
 
 
C
 
 
D","A
 
 
B
 
 
C
 
 
D","A
 
 
B
 
 
C
 
 
D","A
 
 
B
 
 
C
 
 
D","A
 
 
B
 
 
C
 
 
D","A
 
 
B
 
 
C
 
 
D","A
 
 
B
 
 
C
 
 
D","A
 

B
 
 
C
 
 
D","A
 
 
B
 
 
C
 
 
D","A
 
 
B
 
 
C
 
 
D","A
 
 
B
 
 
C
 
 
D"
ASYLUM_CLIPBOARD_CELL_202_NAME,Oriel Toussaint,Oriel Toussaint,Oriel Toussaint,Oriel Toussaint,Oriel Toussaint,Oriel Toussaint,"オリエル・
トゥーサン",오리엘 투생,Oriel Toussaint,Oriel Toussaint,Oriel Toussaint,奧瑞·圖桑
CONSTRUCTION_LUKE_TOOLTIP,Der Mann atmet nicht mehr.,The man is not breathing.,El hombre no respira.,El hombre no respira.,L'homme ne respire plus.,L'uomo non respira.,この男性は息をしていない。,남자는 숨이 멎었다.,Nie oddycha.,O homem não está respirando.,Adam nefes almıyor.,此人已經沒有呼吸。
<!MissingKey:Wolf>,Wolf,Wolf,Lobo,Lobo,Lupin,Lupo,ウルフ,울프,Wolf,Wolf,Kurt,沃爾夫
<!MissingKey:Hunter>,Hunter,Hunter,Cazador,Cazares,Archer,Cacciatore,ハンター,헌터,Hunter,Hunter,Avcı,亨特
CONSTRUCTION_DEMOLISHER_NOTE_TITLE,[u]Sicherheitsregeln[/u],[u]Safety rules[/u],[u]Normas de seguridad[/u],[u]Reglas de seguridad[/u],[u]Règles de sécurité[/u],[u]Norme di sicurezza[/u],[u]安全規則[/u],[u]안전 규정[/u],[u]Zasady bezpieczeństwa[/u],[u]Regras de segurança[/u],[u]Güvenlik Kuralları[/u],[u]安全規定[/u]
CONSTRUCTION_JOEL_TOOLTIP,Der Mann atmet nicht mehr.,The man is not breathing.,El hombre no respira.,El hombre no respira.,L'homme ne respire plus.,L'uomo non respira.,この男性は息をしていない。,남자는 숨이 멎었다.,Nie oddycha.,O homem não está respirando.,Adam nefes almıyor.,此人已經沒有呼吸。
<!MissingKey:A commotion attracted the guard's attention...>,Ein Aufruhr hat die Aufmerksamkeit der Wache geweckt …,A commotion attracted the guard's attention...,Una conmoción atrajo la atención del guardia...,Un alboroto atrajo la atención del guardia…,Un remue-ménage a attiré l'attention de l'agent...,La guardia ha sentito del trambusto...,警備員が騒ぎに気付いた...,소란이 발생하여 경비의 주의를 끌었습니다...,Jakieś zamieszanie przyciągnęło uwagę strażnika...,Uma comoção atraiu a atenção do guarda...,"Bir kargaşa, güvenlik görevlisinin dikkatini çekti...",一陣騷動吸引了守衛的注意……
"<!MissingKey:Hours before the conference, [labelid=pid_Sebastian] [labelid=pid_Walsh] was offered a similar deal and took it.>","[labelid=pid_Sebastian][labelid=pid_Walsh] wurde wenige Stunden vor der Konferenz ein ähnliches Angebot unterbreitet, das er annahm.
 
Allerdings fand die Laboruntersuchung [labelid=pid_zero] [labelid=pid_evidence] dafür, dass eines der beiden Opfer des [labelid=pid_Red32] [labelid=pid_Curse33]s [labelid=pid_drug30] [labelid=pid_user31] hätte.","Hours before the conference, [labelid=pid_Sebastian] [labelid=pid_Walsh] was offered a similar deal and took it.
 
However, the laboratory investigation found [labelid=pid_zero] [labelid=pid_evidence] that either [labelid=pid_Red32] [labelid=pid_Curse33] victim had been a [labelid=pid_drug30] [labelid=pid_user31].","Unas horas antes de la rueda de prensa, [labelid=pid_Sebastian] [labelid=pid_Walsh] recibió una oferta similar y la aceptó.
 
Sin embargo, la investigación del laboratorio encontró [labelid=pid_zero] [labelid=pid_evidence] de que ninguna de las víctimas de la [labelid=pid_Curse33] [labelid=pid_Red32] fuese [labelid=pid_user31] de [labelid=pid_drug30].","Horas antes de la conferencia, le ofrecieron un trato similar a [labelid=pid_Sebastian] [labelid=pid_Walsh] y lo aceptó.
 
Sin embargo, la investigación de laboratorio descubrió [labelid=pid_zero] [labelid=pid_evidence] de que alguna de las víctimas de la [labelid=pid_Curse33] [labelid=pid_Red32] hubieran sido [labelid=pid_user31] de [labelid=pid_drug30].","Quelques heures avant la conférence, [labelid=pid_Sebastian] [labelid=pid_Walsh] a reçu une proposition similaire et l'a acceptée.
 
Cependant, d'après l'enquête menée par le laboratoire, la [labelid=pid_evidence] qu'au moins un des deux individus ayant été victime de la [labelid=pid_Curse33] [labelid=pid_Red32] avait été [labelid=pid_user31] de [labelid=pid_drug30] était [labelid=pid_zero].","Poco prima della conferenza stampa, [labelid=pid_Sebastian] [labelid=pid_Walsh] ha ricevuto una proposta simile e ha accettato.
 
Dalle indagini di laboratorio non è emersa [labelid=pid_zero] [labelid=pid_evidence] che la vittima del [labelid=pid_Curse33] [labelid=pid_Red32] facesse [labelid=pid_user31] di [labelid=pid_drug30].","記者会見の数時間前、[labelid=pid_Sebastian]・[labelid=pid_Walsh]に同様の申し出が提供され、彼はそれを承認した。
 
しかし、研究所での調査によると、[labelid=pid_Red32]の[labelid=pid_Curse33]の被害者である両者ともが[labelid=pid_drug30][labelid=pid_user31]であった[labelid=pid_evidence]は[labelid=pid_zero]であった。","기자회견이 열리기 몇 시간 전, [labelid=pid_Sebastian] [labelid=pid_Walsh] 역시 비슷한 거래를 제안받았고 이를 승낙했다.
 
그러나, 연구소 조사 결과, [labelid=pid_Red32] [labelid=pid_Curse33] 희생자 둘 중 누군가 [labelid=pid_drug30] [labelid=pid_user31]이었다는/였다는 [labelid=pid_evidence]은(는) [labelid=pid_zero]이었다.","Na kilka godzin przed konferencją prasową osoba o nazwisku [labelid=pid_Sebastian] [labelid=pid_Walsh] otrzymała podobną propozycję i przyjęła ją.
 
Badanie w laboratorium wykazało [labelid=pid_zero] [labelid=pid_evidence] na to, że któraś z tych dwóch ofiar [labelid=pid_Red32] [labelid=pid_Curse33] była [labelid=pid_user31] [labelid=pid_drug30].","Horas antes da coletiva, [labelid=pid_Sebastian] [labelid=pid_Walsh] recebeu uma oferta similar e a aceitou.
 
Entretanto, a investigação forense encontrou [labelid=pid_zero] [labelid=pid_evidence] de que quem foi acometido pela [labelid=pid_Curse33] [labelid=pid_Red32] era [labelid=pid_user31] de [labelid=pid_drug30].","Toplantıdan saatler önce [labelid=pid_Sebastian] [labelid=pid_Walsh] da buna benzer bir teklif almıştı ve o da teklifi kabul etmişti.
 
Ancak laboratuvar incelemeleri, [labelid=pid_Red32] [labelid=pid_Curse33] kurbanlarının ikisinin de [labelid=pid_drug30] [labelid=pid_user31] olmalarına dair [labelid=pid_zero] [labelid=pid_evidence] buldu.","記者會開始前幾個小時，[labelid=pid_Sebastian] [labelid=pid_Walsh]收到並接受了相似的提案。
 
但是，實驗室檢驗[labelid=pid_zero]發現任何[labelid=pid_evidence]顯示[labelid=pid_Red32][labelid=pid_Curse33]死者曾是[labelid=pid_drug30][labelid=pid_user31]。"
"<!MissingKey:A year later, the famous scientist [labelid=pid_Isaac] [labelid=pid_Nowak] was discovered dead by the [labelid=pid_Bagman] couple.>","Ein Jahr darauf wurde der berühmte Wissenschaftler [labelid=pid_Isaac] [labelid=pid_Nowak] von dem Ehepaar [labelid=pid_Bagman] tot aufgefunden.

Einige Tage später bot [labelid=pid_Elizabeth16] [labelid=pid_Nowak17] an, [labelid=pid_Brandon] [labelid=pid_Bagman20]s Studiengebühren zu übernehmen, um das Geheimnis zu wahren, dass [labelid=pid_Isaac21] [labelid=pid_Nowak22] mit dem [labelid=pid_Red24] [labelid=pid_Curse25] in Verbindung stand.","A year later, the famous scientist [labelid=pid_Isaac] [labelid=pid_Nowak] was discovered dead by the [labelid=pid_Bagman] couple.


A few days later, [labelid=pid_Elizabeth16] [labelid=pid_Nowak17] offered to fund [labelid=pid_Brandon] [labelid=pid_Bagman20]'s tuition, in exchange for confidentiality about the fact that [labelid=pid_Isaac21] [labelid=pid_Nowak22] had had the [labelid=pid_Red24] [labelid=pid_Curse25].","Un año más tarde, los [labelid=pid_Bagman] hallaron el cuerpo inerte del famoso científico [labelid=pid_Isaac] [labelid=pid_Nowak].
 
Unos días más tarde, [labelid=pid_Elizabeth16] [labelid=pid_Nowak17] ofreció financiar los estudios de [labelid=pid_Brandon] [labelid=pid_Bagman20] a cambio de que no divulgaran que [labelid=pid_Isaac21] [labelid=pid_Nowak22] había sufrido la [labelid=pid_Curse25] [labelid=pid_Red24].","Un año después, el matrimonio [labelid=pid_Bagman] encontró muerto al famoso científico [labelid=pid_Isaac] [labelid=pid_Nowak].

Unos días después, [labelid=pid_Elizabeth16] [labelid=pid_Nowak17] se ofreció a financiar la matrícula de [labelid=pid_Brandon] [labelid=pid_Bagman20], a cambio del silencio sobre que [labelid=pid_Isaac21] [labelid=pid_Nowak22] hubiera tenido la [labelid=pid_Curse25] [labelid=pid_Red24].","Un an plus tard, le corps du célèbre scientifique [labelid=pid_Isaac] [labelid=pid_Nowak] a été découvert par le couple [labelid=pid_Bagman].

Quelques jours plus tard, [labelid=pid_Elizabeth16] [labelid=pid_Nowak17] a offert de financer les frais de scolarité de [labelid=pid_Brandon] [labelid=pid_Bagman20] en échange d'une confidentialité complète sur le fait que [labelid=pid_Isaac21] [labelid=pid_Nowak22] avait eu la [labelid=pid_Curse25] [labelid=pid_Red24].","Un anno dopo, il celebre scienziato [labelid=pid_Isaac] [labelid=pid_Nowak] è stato trovato morto dai coniugi [labelid=pid_Bagman].

Pochi giorni dopo, [labelid=pid_Elizabeth16] [labelid=pid_Nowak17] si è offerta di pagare la retta di [labelid=pid_Brandon] [labelid=pid_Bagman20], in cambio del riserbo sul [labelid=pid_Curse25] [labelid=pid_Red24] di [labelid=pid_Isaac21] [labelid=pid_Nowak22].","一年後、有名な科学者である[labelid=pid_Isaac]・[labelid=pid_Nowak]の遺体が[labelid=pid_Bagman]夫婦によって発見された。 

数日後、[labelid=pid_Elizabeth16]・[labelid=pid_Nowak17]が[labelid=pid_Brandon]・[labelid=pid_Bagman20]の学費の資金提供をすると申し出て、その見返りとして[labelid=pid_Isaac21]・[labelid=pid_Nowak22]が[labelid=pid_Red24]の[labelid=pid_Curse25]を受けていたという事実を秘密にするよう契約を交わした。","1년 뒤 [labelid=pid_Bagman] 부부가 유명 과학자 [labelid=pid_Isaac] [labelid=pid_Nowak]이 사망한 것을 발견했다.

며칠 뒤, [labelid=pid_Elizabeth16] [labelid=pid_Nowak17]은(는) [labelid=pid_Brandon] [labelid=pid_Bagman20]의 학비 지원을 제안했고, 그 대가로 [labelid=pid_Isaac21] [labelid=pid_Nowak22]이(가) [labelid=pid_Red24] [labelid=pid_Curse25] 사실을 비밀로 지켜달라고 했다.","Rok później ciało słynnego naukowca o nazwisku [labelid=pid_Isaac] [labelid=pid_Nowak] zostało odkryte przez małżeństwo o nazwisku [labelid=pid_Bagman].

Kilka dni później osoba o nazwisku [labelid=pid_Elizabeth16] [labelid=pid_Nowak17] zaoferowała, że zapłaci czesne osoby o nazwisku [labelid=pid_Brandon] [labelid=pid_Bagman20] w zamian za zachowanie tajemnicy w sprawie tego, że osoba o nazwisku [labelid=pid_Isaac21] [labelid=pid_Nowak22] była ofiarą [labelid=pid_Red24] [labelid=pid_Curse25].","Um ano depois, o famoso cientista [labelid=pid_Isaac] [labelid=pid_Nowak] foi encontrado morto pelo casal [labelid=pid_Bagman].

Passados alguns dias, [labelid=pid_Elizabeth16] [labelid=pid_Nowak17] ofereceu patrocinar a educação de [labelid=pid_Brandon] [labelid=pid_Bagman20] em troca de confidencialidade sobre o fato de que [labelid=pid_Isaac21] [labelid=pid_Nowak22] sofria da [labelid=pid_Curse25] [labelid=pid_Red24].","Bir yıl sonra da [labelid=pid_Bagman] çifti tarafından [labelid=pid_Isaac] [labelid=pid_Nowak] adlı ünlü bilim insanının cansız bedeni keşfedildi.

Birkaç gün sonra [labelid=pid_Elizabeth16] [labelid=pid_Nowak17], [labelid=pid_Isaac21] [labelid=pid_Nowak22] adlı kişinin üstünde [labelid=pid_Red24] [labelid=pid_Curse25] olduğu gerçeğini saklamaları karşılığında [labelid=pid_Brandon] [labelid=pid_Bagman20] adlı kişinin öğrenim masraflarını karşılamayı teklif etti.","一年後，著名的科學家[labelid=pid_Isaac][labelid=pid_Nowak]被[labelid=pid_Bagman]夫婦發現死亡。

幾天後，[labelid=pid_Elizabeth16][labelid=pid_Nowak17]收到[labelid=pid_Brandon][labelid=pid_Bagman20]的學費資助，交換條件是對[labelid=pid_Isaac21][labelid=pid_Nowak22]染上[labelid=pid_Red24][labelid=pid_Curse25]的事情保密。"
CONFERENCE_SCENARIO_NAME,Eilmeldung,Newsflash,Últimas noticias,Flash informativo,Flash spécial,Edizione straordinaria,報道現場,뉴스 속보,Gorące wieści,Notícia de última hora,Son Dakika Haberi,報導現場
