key,de,en,es,es_MX,fr,it,ja,ko,pl,pt_BR,tr,zh_TW
DRIVEIN_HINT_CRASH_TITLE,Der Autounfall,The crash,El accidente,El choque,L'accident,L'impatto,衝突,충돌,Zderzenie,O acidente,Araba kazası,車禍
FINALE_HINT_IDOL_TITLE,Das Bewegen von G.O.L.D.,Moving the I.D.O.L.,El desplazamiento del ÍDOLO,Movimiento del I.D.O.L.O.,Déplacer l'I.D.O.L.,Spostare l'I.D.O.L.,I.D.O.L.の引っ越し,I.D.O.L. 옮기기,Przenoszenie SOWI,Transporte do I.D.O.L,İ.D.O.L.'ün nakli,移動 I.D.O.L.
HINT_TITLE,HINWEISE,HINTS,PISTAS,PISTAS,INDICES,INDIZI,ヒント,힌트,PODPOWIEDZI,DICAS,İPUÇLARI,提示
YARD_HINT_SUSPECTS_TITLE,Identität der Verdächtigen,Identities of the suspects,Identidad de los sospechosos,Identidad de los sospechosos,Identité des suspects,Identità dei sospettati,容疑者の身元,용의자들의 정체,Tożsamości podejrzanych,Identidades dos suspeitos,Şüphelilerin kimliği,嫌犯的身分
RETREAT_HINT_IDENTITY_1,"Welchen Gegenständen, die in den Telefonnachrichten erwähnt werden, begegnet man in dieser Szene?",Which objects mentioned in the phone messages can be found in this scene?,¿Qué objetos mencionados en los mensajes del teléfono se pueden encontrar en esta escena?,¿Qué objetos mencionados en los mensajes de teléfono se pueden encontrar en la escena?,Quels objets mentionnés dans les messages téléphoniques peuvent être trouvés dans cette scène ?,Quale oggetto citato nei messaggi del telefono può essere trovato sulla scena?,この場面では電話メッセージで言及されているどの物品が見つかるだろうか？,이 장면에서 찾을 수 있는 전화 메시지에서 언급된 물체는 무엇인가요?,Jakie przedmioty wspomniane w wiadomościach telefonicznych można znaleźć w tym miejscu?,Quais objetos mencionados nas mensagens do telefone se encontram neste local?,Telefona bırakılan mesajlarda bahsedilen hangi nesneler şu anda ekranda görünebilir?,電話留言中所提及的哪一個物品可以在這個場景中找到？
RETREAT_HINT_IDENTITY_2,Der heutige Besucher brachte seinen Koffer mit. Neben anderen Gegenständen enthielt er auch eine seltsame Statue.,"Whoever visited tonight brought their suitcase. It contained a strange statue, along with their other belongings.","Fuera quien fuera quien vino de visita, se trajo una maleta. Dentro había una estatuilla extraña además de otros enseres.","Quien sea que haya realizado la visita trajo una maleta. Contenía una estatua extraña, además de otras pertenencias.",La personne qui est venue ici ce soir a apporté sa valise. Une étrange statue figurait parmi les affaires qu'elle contenait.,"Chiunque le abbia fatto visita ha portato una valigia. Conteneva una strana statua, oltre ad altri effetti personali.",今夜訪問した人物はスーツケースを携行していた。中には奇妙な彫像と他の持ち物が入っている。,오늘 밤에 찾아온 사람은 여행 가방을 가져왔습니다. 여기에는 기이한 동상과 기타 소지품이 들어있었습니다.,"Człowiek, który zjawił się tu dziś wieczorem, przyniósł swoją walizkę. Zawierała dziwną statuetkę oraz inne należące go niego rzeczy.","A pessoa que fez a visita noturna levou uma maleta. Nela, uma estátua estranha com outros pertences.",Bugün ziyarete gelen her kimdiyse yanında çantasını da getirmiş. İçinde diğer eşyalarının yanı sıra tuhaf bir heykel de bulunuyor.,今晚來訪的人都帶著行李箱。裡面有個奇怪的雕像，還有他們的其他物品。
RETREAT_HINT_IDENTITY_3,"Der „spitzohrige Freund“, der in der dritten Nachricht erwähnt wird, ist die Statue im oberen Stockwerk, und das Handtuch stammt aus dem Libellen-Gasthaus.","The “pointy-eared friend” mentioned in the third message is the statue seen upstairs, and the towel came from the Dragonfly Inn.",El «amigo de orejas puntiagudas» que se menciona en el tercer mensaje se refiere a la estatuilla que hay en el piso de arriba y la toalla procede de la posada La Libélula.,El «amigo de orejas puntiagudas» mencionado en el tercer mensaje es la estatua que se ve en el piso de arriba y la toalla es de la posada Libélula.,L'« ami aux oreilles pointues » mentionné dans le troisième message est la statue trouvée à l'étage. La serviette provient de l'auberge Libellule.,"""L'amico dalle orecchie a punta"" menzionato nel terzo messaggio è la statua vista al piano superiore, mentre la salvietta proviene dalla pensione Libellula.",3番目のメッセージで言及されている「耳のとがった友達」とは2階にある像のことで、タオルはドラゴンフライ・インから持ち込まれたものだ。,"세 번째 메시지에서 언급되는 '귀 뾰족한 우리 새 친구'는 윗층에서 볼 수 있으며, 수건은 잠자리 여관 것입니다.","„Spiczastouchy znajomy” wspomniany w trzeciej wiadomości to statuetka widoczna na górze, a ręcznik pochodzi z zajazdu Ważka.","A “pessoa de orelha pontuda” falou, na terceira mensagem, que a estátua foi vista no andar de cima e que a toalha veio da Pousada da Libélula.","Üçüncü mesajda bahsedilen ""sivri kulaklı dost"", üst katta gördüğün heykeli ifade ediyor, havlu ise Yusufçuk Hanı'ndan.",第三封訊息提到的「尖耳朵的新朋友」是在樓上看見過的雕像，毛巾來自蜻蜓酒店。
TALENT_SHOW_HINT_ORDER_1,Welche zwei Personen haben sich kürzlich getrennt? ,Which two people have recently broken up? ,¿Qué pareja ha roto hace poco? ,¿Qué dos personas se separaron recientemente? ,Quel duo s'est récemment séparé ? ,Quale coppia si è lasciata di recente? ,最近別れたカップルはどれか？ ,최근 결별한 두 사람은 누구인가요? ,Które osoby niedawno się rozstały? ,Quem foi o casal que se separou recentemente? ,Hangi iki kişi kısa bir süre önce ayrılmış? ,哪兩個人最近剛分手？ 
TALENT_SHOW_HINT_ORDER_3,"Der Gewinner trat zuletzt auf, und der Bauchredner trat als Erster auf. Die Magierin trat vor dem Jongleur auf. ","The winner performed last, and the ventriloquist performed first. The magician performed before the juggler. ",Quien ganó actuó en último lugar y el ventrílocuo salió el primero. La maga actuó antes que el malabarista. ,La persona que gano actuó en último lugar y quien hizo el acto de ventriloquía actuó en primer lugar. El acto de magia sucedió antes que el de malabarismo. ,Le gagnant est passé en dernier et le ventriloque en premier. La magicienne est passée avant le jongleur. ,"Il vincitore si è esibito per ultimo, il ventriloquo per primo. La maga si è esibita prima del giocoliere. ",勝者は最後にパフォーマンスを行った。最初に出演したのは腹話術師だ。マジシャンの順番はジャグラーの前である。 ,우승자는 마지막으로 공연했습니다. 복화술사는 첫 번째로 공연했습니다. 마술사는 저글러보다 먼저 공연했습니다. ,"Zwycięzca wystąpił jako ostatni, a brzuchomówca jako pierwszy. Magiczka wystąpiła przed żonglerem. ",O vencedor se apresentou por último e o ventríloquo foi o primeiro. O mágico atuou antes do malabarista. ,Kazanan en son çıkanmış ve vantrilok ise ilk çıkmış. Sihirbaz da jonglörden önce çıkmış. ,獲勝者最後表演，腹語師最先表演。魔術師在雜技演員前表演。 
TALENT_SHOW_HINT_ORDER_2,"Der Moderator kennt die Reihenfolge der Teilnehmer. Nur bei einem Teilnehmer kann davon ausgegangen werden, dass er in seiner Darbietung Messer verwendet. ",The host knows the order of the contestants. Only one performer could be expected to use knives in their act. ,El presentador sabe en qué orden van los participantes. Solo hay un participante que podría usar cuchillos durante su actuación. ,El anfitrión sabe cuál es el orden de los concursantes. Solo uno de ellos podría usar cuchillos en su actuación. ,L'animateur connaît l'ordre de passage des participants. Un seul participant devait utiliser des couteaux dans son numéro. ,Il presentatore conosce l'ordine dei concorrenti. Si pensava che solo un performer avrebbe usato i coltelli durante il numero. ,司会者は出場者の順番を知っている。演技中にナイフを使用すると予想されるパフォーマーは1人だけだ。 ,주최자는 경연자 순서를 압니다. 공연 중 칼을 쓸 거라고 예상하는 사람은 한 명뿐입니다. ,Gospodarz programu zna kolejność występujących. I tylko jedna z tych osób mogła chcieć użyć noży. ,O anfitrião sabe a ordem dos competidores. Só um apresentador estava programado para usar facas. ,"Sunucu, yarışmacıların sırasını biliyor. Yalnızca bir yarışmacının, gösterisinde bıçak kullanması beklenebilir. ",主持人知道參賽者的順序。只有一名表演者可以在表演中使用刀具。 
CONFERENCE_HINT_PHOTO_3,Heute ist der 7. Dezember. Eine Leiche wird auf besonderen Wunsch von Angehörigen freigegeben.,Today’s date is December 7. One body is being released due to a special request from a relative.,La fecha de hoy es 7 de diciembre. Uno de los cuerpos va a salir debido a la petición especial de un familiar.,La fecha de hoy es 7 de diciembre. Hoy liberarán un cuerpo debido al pedido especial de un familiar.,"Aujourd'hui, le 7 décembre, une dépouille va sortir sur la demande d'un membre de la famille.",Oggi è il 7 dicembre. Un corpo verrà liberato in seguito alle richieste speciali di un parente.,今日の日付は12月7日。親族からの特別な要請により遺体1体が引き渡される。,오늘은 12월 7일입니다. 시체 한 구가 친지의 특별 요청으로 인도될 예정입니다.,Dziś jest 7 grudnia. Jedno z ciał jest wydawane na specjalną prośbę rodziny.,Hoje é 7 de dezembro. Um corpo será liberado devido a um pedido especial de um parente.,"Bugün 7 Aralık. Cenazelerden biri, yakın bir akrabasının talebi üzerine teslim edilecek.",今天是 12 月 7 日。有一具屍體由於一名家屬的特殊要求而釋放。
BURNING_MAN_HINT_FIRE_TITLE,Das Feuer,The fire,El incendio,El incendio,L'incendie,L'incendio,炎,불,Pożar,O incêndio,Yangın,火災
CONFERENCE_HINT_PHOTO_2,"Auf dem Foto ist ein äußeres Merkmal zu sehen, das mit einer Leiche in der Leichenhalle in Verbindung gebracht werden kann. Die Hinweise in der Leichenhalle enthalten das Freigabedatum für jede Leiche.",The photo shows a physical feature that can be matched to a body in the morgue. The morgue notes include release dates for each body.,En la foto se ve una característica física que puede relacionase con un cuerpo de la morgue. En los documentos de la morgue se encuentran las fechas de salida de cada cadáver.,La foto muestra una característica física que coincide con un cuerpo en la morgue. Las notas de la morgue incluyen las fechas de liberación de cada cuerpo.,"Sur la photo, vous pouvez voir une caractéristique physique correspondant à celle d'un corps de la morgue. Les notes de la morgue comprennent les dates de sortie de chaque dépouille.",La foto mostra una caratteristica fisica simile a quella di un corpo nell'obitorio. Gli appunti dell'obitorio riportano le date di rilascio di ciascun corpo.,写真からは遺体安置所の遺体と一致する身体的特徴が確認できる。遺体安置所の覚書には、各遺体の引き渡し日が記載されている。,사진에 보이는 신체적 특징은 부검소에 있는 시체 한 구와 일치합니다. 부검소의 노트에는 각 시체의 인도일이 써 있습니다.,"Zdjęcie przedstawia pewną cechę na ciele, którą można dopasować do ciała w kostnicy. Notatki z kostnicy zawierają daty wydania każdego ciała.",A fotografia mostra as características físicas que correspondem a um cadáver no necrotério. As anotações do legista contêm as datas de liberação de cada corpo.,"Fotoğraf, morgdaki cenazelerden biriyle eşleştirilebilecek bir fiziksel özelliği gösteriyor. Morg notları hangi cenazenin ne zaman teslim edileceğini içeriyor.",照片上顯示了可以與停屍間裡的屍體相符的物理特徵。停屍間的記錄包括每具屍體的釋放日期。
CHAPTER1_HINT_PLANE_3,"Die Unterschrift besteht aus dem Bild eines Wolfes, der einen Jagdbogen hält. ",The signature is a picture of a wolf holding a hunting bow. ,La firma es una foto de un lobo con un arco de caza. ,La firma es un dibujo de un lobo con un arco. ,La signature est une image d'un loup tenant un arc de chasse. ,Questa firma è l'immagine di un lupo che regge un arco da caccia. ,記号は狩猟用の弓を持ったオオカミの絵だ。 ,서명은 사냥용 활을 든 늑대의 그림입니다. ,Podpis przedstawia wilka trzymającego łuk myśliwski. ,A assinatura é uma imagem de um lobo segurando um arco de caça. ,"İmza, yay tutan bir kurdu resmediyor. ",簽名是一張拿著弓箭的狼的圖片。 
EVICTION_HINT_BELIEFS_TITLE,Die Grundsätze der Stiftung ,The foundation’s beliefs ,Las creencias de la fundación ,Los principios de la fundación ,Les croyances de la fondation ,Le credenze della fondazione ,財団の信念 ,재단의 신념 ,Przekonania fundacji ,As crenças da fundação ,Vakfın görüşleri ,基金會的信念 
CONFERENCE_HINT_PHOTO_1,"Welche Leiche wird heute freigegeben, und warum?","Which body is being released today, and why?",¿Cuál es el cuerpo que va a salir hoy y por qué?,¿Qué cuerpo liberarán hoy y por qué?,La police a autorisé la sortie d'un corps aujourd'hui. Lequel et pourquoi ?,Quale corpo verrà liberato oggi e perché?,今日引き渡しされる遺体はどれか？そしてその理由は？,"오늘 인도되는 시체는 어떤 것이며, 그 이유는 무엇인가요?",Które ciało jest dziś wydawane i dlaczego?,Que corpo será liberado hoje e por quê?,Bugün kimin cenazesi neden teslim ediliyor?,哪一具屍體今天釋放出來，為什麼？
CHAPTER1_HINT_PLANE_2,"Im Fall „Puma 9“hat Roy zwei Verdächtige, von denen einer mit der kryptischen Unterschrift auf dem Papierfliegerbrief in Verbindung gebracht werden kann.","Roy has two suspects in the Cougar 9 case, one of whom can be associated with the cryptic signature on the paper plane letter.","Roy tiene dos sospechosos del caso Puma 9, uno de los cuales se puede asociar a la extraña firma de la carta con forma de avión de papel.",Roy tiene a dos sospechosos en el caso Puma 9; uno de ellos se puede relacionar con la enigmática firma de la carta en el avioncito de papel.,"Roy suspecte deux personnes dans l'affaire Puma 9, et l'une d'elles peut être associée à l'étrange signature sur la lettre de l'avion en papier.","Roy sospetta di due persone nel caso Puma 9, una delle quali può essere associata alla criptica firma sulla lettera dell'aeroplanino di carta.",ロイにはクーガー9事件には2人の容疑者がいるが、そのうちの1人は紙飛行機の手紙に書かれた不可解な記号に関連している可能性がある。,로이의 쿠거 9 사건 용의자는 두 명입니다. 그중 한 명이 이 종이 비행기 편지의 암호 같은 그림과 연관이 있을 수 있습니다.,Roy ma dwóch podejrzanych w sprawie Puma 9. Jednego z tych podejrzanych można powiązać z tajemniczym podpisem na liście złożonym w samolot.,O Roy tem dois suspeitos no caso Puma 9 — um deles pode estar ligado à assinatura enigmática na carta do avião de papel.,"Roy'un, Puma 9 vakası için iki şüphelisi var; bunlardan biri, kağıttan uçak mektubundaki şifreli imza aracılığıyla bulunabilir.",羅伊在美洲獅 9 號案件中有兩名嫌疑人，其中一名可能與紙飛機信件上的神秘簽名有關。
CHAPTER1_HINT_PLANE_1,Welcher Verdächtige wird mit der Unterschrift auf dem Papierfliegerbrief in Verbindung gebracht?,Which suspect’s name has an association with the signature on the paper plane letter?,¿El nombre de qué sospechoso está relacionado con la firma de la carta con forma de avión de papel?,¿El nombre de cuál de los sospechosos tiene relación con la firma de la carta en el avioncito de papel?,Quel est le suspect dont le nom est associé à la signature figurant sur la lettre de l'avion en papier ?,Il nome di quale sospettato può essere associato alla firma presente sulla lettera dell'aeroplanino di carta?,紙飛行機の手紙にあった記号と関係のある容疑者の名前はどれだろうか？,종이 비행기 편지의 서명과 관련된 용의자의 이름은 무엇인가요?,Nazwisko którego podejrzanego można powiązać z podpisem na liście złożonym w samolot?,Que nome de suspeito tem uma ligação com a assinatura na carta do avião de papel?,"Hangi kurbanın adı, kağıttan uçak mektubundaki imzayla ilişkili?",哪一名嫌疑人的名字和紙飛機信件中的簽名有關係？
CHAPTER2_HINT_LABORATORY_TITLE,Das Labor,The laboratory,El laboratorio,El laboratorio,Le laboratoire,Il laboratorio,研究所,연구실,Laboratorium,O laboratório,Laboratuvar,實驗室
BEACH_HINT_BAGS_3,Nur eine Person in der Szene nimmt Genius.,Only one person in the scene takes Genius.,Solo hay una persona en la escena que toma Genius.,Solo una persona en la escena toma Genius.,Seule une personne dans cette scène prend de la Caboche.,Solo una delle presenti prende il Genius.,現場でジニアスを摂取するのは一人だけだ。,장면 속 단 한 명만 지니어스를 합니다.,Tylko jedna osoba tutaj zażywa Geniusza.,Apenas uma pessoa na cena toma Genius.,Ekrandaki kişilerden yalnızca biri Deha kullanıyor.,場景中只有一個人拿了吉尼斯。
BEACH_HINT_BAGS_2,Nur eines der Models raucht.,Only one of the models is a smoker.,Solo una de las modelos fuma.,Solo una de las modelos fuma.,Seule une des mannequins est fumeuse.,Solo una delle modelle è una fumatrice.,喫煙者のモデルは一人だけだ。,모델 중 한 명만 흡연자입니다.,Tylko jedna z modelek pali papierosy.,Apenas uma das modelos fuma.,Modellerden yalnızca biri sigara kullanıyor.,其中只有一名模特兒會抽菸。
BEACH_HINT_BAGS_1,Wie viele Personen in der Szene tragen Lippenstift?,How many people in the scene are wearing lipstick?,¿Cuántas personas en la escena llevaban pintalabios?,¿Cuántas personas en la escena tienen los labios pintados?,Combien de personnes portent du rouge à lèvres dans cette scène ?,Quanti presenti indossano il rossetto?,現場にいる人の中でリップスティックをつけているのは何人か？,장면 속 몇 명이나 립스틱을 바르고 있나요?,Ile osób w tej scence ma na sobie szminkę?,Quantas pessoas estavam usando batom na cena?,Ekrandaki kaç kişi ruj sürmüş?,場景中有幾個人擦口紅？
PRISON_HINT_IDENTITIES_TITLE,Die Identität der Gefangenen,The prisoners’ identities,La identidad de los reclusos,Las identidades de los prisioneros,L'identité des prisonniers,Le identità dei prigionieri,囚人の身元,죄수의 정체,Tożsamość więźniów,Identidade dos prisioneiros,Mahkûmların kimlikleri,囚犯們的身分
BEACH_HINT_MODELS_TITLE,Die Models,The models,Las modelos,Las modelos,Les mannequins,Le modelle,モデル,모델,Modelki,As modelos,Modeller,模特兒
EVICTION_HINT_INCIDENT_1,Welche Teile der Morgenagenda wurden nicht beendet? ,Which of the morning orders wasn’t completed? ,¿Cuál de las labores matinales no se completó? ,¿Cuál de las órdenes matinales no se completó? ,Quelle tâche matinale n'a pas été accomplie ? ,Quali ordini mattutini non sono stati completati? ,午前中の指令のうち完了していないものはどれか？ ,아침 명령 중에서 완수되지 않은 건 무엇일까요? ,Które z porannych poleceń nie zostało wykonane? ,Qual das ordens da manhã não foi cumprida? ,Sabah verilen emirlerden hangisi yerine getirilmemiş? ,早晨的指令有哪些沒有完成？ 
EVICTION_HINT_INCIDENT_2,"Drei Personen wurden verletzt – eine mit der Hand, eine durch einen im Zimmer gefundenen Gegenstand und eine durch eine Waffe.","Three people were injured—one by hand, one by an object found in the room, and one by a weapon.","Tres personas resultaron heridas: una a manos de alguien, otra con un objeto que se encontraba en la sala y otra con un arma.","Tres personas resultaron heridas: una a mano, otra con un objeto hallado en la habitación y otra con un arma.","Trois personnes ont été blessées : une à la main, une avec un objet se trouvant dans la pièce et une avec une arme.","Sono state ferite tre persone: una per mano di qualcuno, una da un oggetto trovato nella stanza e una da un'arma.",3人が怪我をしている。一人は素手によって、一人は部屋の中で見つかった物体によって、そしてもう一人は武器によって。,"세 명이 다쳤습니다. 한 사람은 손, 한 사람은 방에서 찾은 물건, 한 사람은 무기로 다쳤죠.","Trzy osoby zostały zranione – jedna ręką, jedna przedmiotem znajdującym się w pokoju i jedna bronią.","Três pessoas foram feridas: uma de forma desarmada, outra por um objeto na sala e a terceira por uma arma.","Üç kişi yaralanmış; biri çıplak elle, diğeri odada bulunan bir nesne ile, ötekisi ise bir silah ile...",三人受傷：一人被房間內發現的物體弄傷、另一人被武器弄傷。
EVICTION_HINT_INCIDENT_3,"Bruce Myson hat etwas getan, was er nicht hätte tun sollen, und wurde daraufhin angegriffen.","Bruce Myson did something he wasn’t supposed to, and was attacked in retaliation.",Bruce Myson hizo algo que se supone que no tenía que hacer y recibió un ataque como respuesta.,"Bruce Myson hizo algo que no debía, y lo atacaron como represalia.",Bruce Myson a fait quelque chose qu'il n'était pas supposé faire et a été attaqué en retour.,Bruce Myson ha fatto una cosa che chiaramente non doveva fare ed è stato aggredito in segno di ritorsione.,ブルース・マイソンはしてはいけないことをした。そして報復として襲撃された。,"브루스 마이슨은 하면 안 될 무언가를 하였고, 그 보복으로 공격을 받았습니다.","Bruce Myson zrobił coś, czego nie powinien, i został w odwecie zaatakowany.","O Bruce Myson fez algo que não deveria e, em retaliação, sofreu um ataque.","Bruce Myson, yapmaması gereken bir şey yaptığı için karşılığında saldırıya uğramış.",布魯·斯麥森做了一些他不該做的事，並遭到報復攻擊。
BEACH_HINT_EMERGENCY_3,"Es ist unwahrscheinlich, dass jemand freiwillig etwas einnimmt, gegen das er allergisch ist. Die anderen Models scheinen extrem glücklich zu sein.",A person would be unlikely to willingly take something they were allergic to. The other models seem extremely happy.,Sería bastante raro que alguien se tomara por voluntad propia algo que le da alergia. El resto de las modelos parecen estar contentas sobremanera.,No es probable que una persona tome en forma consciente algo a lo que tiene alergia. Las otras modelos parecen demasiado alegres.,Une personne est peu susceptible de prendre volontairement une substance à laquelle elle est allergique. Les autres mannequins ont l'air très heureuses.,È improbabile che una persona assuma qualcosa a cui è allergica. Le altre modelle sembrano estremamente felici.,アレルギーのある人がアレルゲンを進んで摂取する可能性は低い。他のモデルたちもとても満足しているようだ。,사람은 본인이 알레르기가 있는 걸 자발적으로 복용할 가능성이 낮습니다. 다른 모델은 매우 행복해 보입니다.,"To mało prawdopodobne, aby ktoś dobrowolnie zażył coś, na co jest uczulony. Pozostałe modelki wydają się niezwykle szczęśliwe.",É improvável que uma pessoa com alergia tome algo intencionalmente. As outras modelos parecem estar extremamente felizes.,"Normalde biri, alerjisi olduğu bir şeyi tüketmek istemez. Diğer modeller aşırı mutlu görünüyor.",一般人不太可能願意服用他們會過敏的東西。其他模特兒似乎極度開心。
